MSOAC,LSOACOUNT,POPMID15,IMD19 SCORE
E02000001,6,6687,14.72048422
E02000002,4,7379,34.76755983
E02000003,6,10720,25.14972593
E02000004,4,6536,23.56004437
E02000005,5,9243,30.21296538
E02000007,5,9664,36.00746327
E02000008,7,12282,34.449585
E02000009,6,10504,36.33654627
E02000010,5,9091,34.49335915
E02000011,4,6761,25.71396879
E02000012,5,10858,20.63216642
E02000013,5,8771,36.09122609
E02000014,6,9618,36.55000135
E02000015,4,7784,39.60161035
E02000016,4,8885,33.66113101
E02000017,5,8903,27.27058677
E02000018,5,9526,36.41188684
E02000019,5,9074,32.06529403
E02000020,5,11779,33.22273173
E02000021,5,8739,31.82347889
E02000022,5,8671,38.64612501
E02000023,4,7587,39.06830407
E02000024,6,10915,9.191532295
E02000025,5,8420,15.93263444
E02000026,4,6563,10.84753756
E02000027,6,10071,22.82809512
E02000028,4,6516,12.80765408
E02000029,5,8939,16.01065153
E02000030,6,9325,13.46405834
E02000031,5,7239,8.982775245
E02000032,5,7711,8.446300999
E02000033,5,8931,17.06347979
E02000034,5,8894,12.8238987
E02000035,5,8573,13.70204503
E02000036,6,11511,16.32370046
E02000037,6,9712,11.12815846
E02000038,6,11379,15.5682248
E02000039,4,7045,10.70296309
E02000040,4,7404,15.44147771
E02000041,5,9507,18.28472052
E02000042,6,11626,15.16275718
E02000043,5,7860,7.517256489
E02000044,5,8637,23.62735834
E02000045,6,10924,19.81691523
E02000046,4,7342,12.42196595
E02000047,6,12037,26.34332143
E02000048,5,10223,12.8220808
E02000049,5,9061,35.91760943
E02000050,6,10740,18.30702076
E02000051,5,9120,10.39444759
E02000052,6,10430,11.88196625
E02000053,5,12808,20.76039421
E02000054,4,7452,16.54641009
E02000055,6,11589,15.52579981
E02000056,6,9232,8.093323224
E02000057,4,7829,14.00602963
E02000058,6,10753,10.38458347
E02000059,6,11394,22.05096323
E02000060,6,11856,15.24550236
E02000061,5,8512,13.93901715
E02000062,4,6666,32.41226778
E02000063,4,7441,22.01048085
E02000064,4,6591,22.20927902
E02000065,4,8576,20.6932437
E02000066,6,10218,28.27548875
E02000067,5,9845,25.82637583
E02000068,4,7885,28.26586392
E02000069,4,6417,19.41122347
E02000070,5,7951,13.54951893
E02000071,5,7598,17.87055462
E02000072,7,11644,31.57721737
E02000073,7,10973,8.703328625
E02000074,5,8098,29.74117918
E02000075,5,8247,8.897173518
E02000077,5,8244,12.74568159
E02000078,5,7855,10.3481464
E02000079,5,8323,13.06773759
E02000080,6,9831,11.92746679
E02000081,5,7804,16.31653588
E02000082,6,9224,8.814773634
E02000083,6,11100,21.44969523
E02000084,7,11008,9.10505278
E02000085,5,8100,11.57748309
E02000086,5,7411,7.640076643
E02000087,5,7959,7.915004398
E02000088,5,7733,8.580550498
E02000089,5,7886,7.935679305
E02000090,5,9293,11.41749747
E02000091,6,9791,12.67784782
E02000092,4,6706,30.79426126
E02000093,6,11034,18.51265271
E02000094,5,8671,19.70144378
E02000095,5,10067,18.90111612
E02000096,5,7524,11.05660952
E02000097,5,8997,19.28432433
E02000098,5,8325,21.86900685
E02000099,5,8901,18.82016976
E02000100,5,8917,12.25044499
E02000101,5,9610,27.68633351
E02000102,4,7843,33.10145888
E02000103,5,8891,28.89743516
E02000104,4,7152,23.18116779
E02000105,5,9809,21.41744928
E02000106,6,10838,33.3267876
E02000107,6,11381,25.17942202
E02000108,4,6604,20.69805981
E02000109,6,11090,21.54769297
E02000110,5,8452,20.87273154
E02000111,5,10724,22.217877
E02000112,5,10080,23.59974256
E02000113,6,9568,45.0679723
E02000114,5,9249,24.56691772
E02000115,5,8499,23.96195341
E02000116,4,9093,34.40406928
E02000117,6,12392,40.87962306
E02000118,5,10433,23.45169606
E02000119,4,7954,45.5596134
E02000120,5,9356,25.24858487
E02000121,5,10207,22.23057578
E02000122,5,7981,17.42594763
E02000123,7,15424,36.12435497
E02000124,5,10126,21.09339868
E02000125,6,10800,18.76533574
E02000126,4,7451,38.51658784
E02000127,6,9216,31.15492296
E02000128,5,7777,11.75455728
E02000130,5,8502,17.55581757
E02000131,5,9991,22.16480763
E02000132,5,9627,15.42134725
E02000133,6,10489,6.742223472
E02000134,7,11476,15.97322665
E02000135,6,10356,33.39903611
E02000136,4,5723,20.13959567
E02000137,5,8370,8.412080287
E02000138,5,8271,6.405692298
E02000139,5,7571,12.80906155
E02000140,5,8421,35.65832431
E02000141,5,7397,15.66085102
E02000142,5,8544,8.116031601
E02000144,5,9333,8.478019715
E02000145,5,8906,33.56163362
E02000146,5,9246,9.967636816
E02000147,5,8177,4.908987893
E02000148,4,6659,7.357472894
E02000149,5,8112,23.11200247
E02000150,5,8700,11.16013322
E02000151,5,7672,4.035781283
E02000152,4,7557,24.33411089
E02000153,5,7947,6.094153517
E02000154,5,8360,11.25137165
E02000155,5,6915,17.19982082
E02000156,8,12369,6.711487267
E02000157,5,8092,5.383091201
E02000158,5,7759,18.09470512
E02000159,4,6985,7.260148747
E02000160,5,8005,7.990305309
E02000161,5,8692,5.1688685
E02000162,4,6987,13.50881093
E02000163,5,7793,7.727085718
E02000165,5,7052,9.006367839
E02000166,5,8662,20.44251639
E02000167,5,8728,6.397151925
E02000168,5,9111,16.30106333
E02000169,5,8600,5.946124186
E02000170,5,9192,13.19656625
E02000171,5,8805,14.3611473
E02000172,6,11617,29.422444
E02000173,5,8846,8.93829064
E02000174,5,9470,21.86666822
E02000175,5,9955,15.19965364
E02000176,4,7237,8.016324858
E02000177,5,9998,27.6329969
E02000178,5,9814,26.68319258
E02000179,4,7155,15.92515038
E02000180,5,9254,23.51546218
E02000181,5,8243,12.54920587
E02000182,4,7621,14.24801575
E02000183,5,8353,18.61980295
E02000184,5,9542,30.14434647
E02000185,5,9476,29.76935279
E02000186,4,7430,25.35959704
E02000187,5,9960,34.75225392
E02000188,5,8398,28.46804811
E02000189,4,6514,28.46277249
E02000190,5,7429,23.14319774
E02000191,4,8247,14.91027101
E02000192,4,8055,23.02144755
E02000193,4,8125,17.80102228
E02000194,5,9356,23.44658497
E02000195,5,9595,15.2828198
E02000196,4,7688,24.41655983
E02000197,5,9646,20.89548891
E02000198,5,8696,31.28349655
E02000199,5,8549,21.93459212
E02000200,5,8917,26.74603757
E02000201,5,9053,32.37566232
E02000202,6,8553,21.21043669
E02000203,5,8016,31.87630714
E02000204,6,9683,23.33938686
E02000206,6,10030,32.66016979
E02000207,5,9224,28.94088042
E02000208,5,10647,37.00035306
E02000209,5,8745,25.65466895
E02000210,5,8516,18.30019387
E02000211,5,8145,10.66911725
E02000212,5,9062,29.82695001
E02000213,5,10424,38.7639081
E02000214,4,6383,10.98085728
E02000215,6,10757,23.59401906
E02000216,4,6928,13.45591498
E02000217,5,11415,29.34459842
E02000218,4,6787,22.90699234
E02000219,5,7586,9.198186791
E02000220,5,10889,27.66453898
E02000221,5,10681,27.74406647
E02000222,5,8180,15.01140562
E02000223,5,8495,38.80256021
E02000224,5,8027,15.19842793
E02000225,5,7632,32.09196043
E02000226,5,7664,9.353797625
E02000227,8,11641,17.855986
E02000228,5,7904,5.678492029
E02000229,4,6643,38.61102333
E02000230,6,10575,15.02004397
E02000231,5,7666,8.918442212
E02000232,4,6344,12.26569704
E02000233,4,6350,13.95069323
E02000234,5,8547,17.07102597
E02000235,4,7129,11.41971413
E02000236,5,7841,9.523745568
E02000237,5,7698,12.53205586
E02000238,5,9712,18.73264405
E02000239,5,9065,12.76848891
E02000240,6,10216,29.90837128
E02000241,4,6756,20.34137715
E02000242,4,7031,15.13099232
E02000243,5,8679,24.03260779
E02000244,4,7447,17.11302283
E02000245,5,8678,37.99387463
E02000246,5,8832,30.37271332
E02000247,6,10438,27.71270397
E02000248,4,7582,18.935244
E02000249,4,7785,24.63060822
E02000250,4,6368,8.078410804
E02000251,5,7746,17.29875316
E02000252,5,10887,28.18532883
E02000253,6,9369,33.80143238
E02000254,5,8674,22.69048282
E02000255,6,9253,21.19055712
E02000256,5,8853,14.11220242
E02000257,8,13905,16.08274297
E02000258,4,7057,18.52435341
E02000259,4,6187,14.81280588
E02000260,5,9370,26.54392113
E02000261,6,11699,23.57625088
E02000262,5,9243,26.46656226
E02000263,6,12191,29.49147248
E02000264,5,8301,18.10300265
E02000265,6,10762,27.6407376
E02000266,7,11623,36.88706066
E02000267,4,7297,19.0284262
E02000268,6,8980,20.64204978
E02000269,5,8081,10.62361007
E02000270,5,7911,35.99719163
E02000271,4,6860,9.829194169
E02000272,4,6516,10.15408211
E02000274,7,14063,28.31282465
E02000275,4,7544,28.17782755
E02000276,4,6562,13.74185614
E02000277,4,7411,26.28489745
E02000278,5,9439,38.42983081
E02000279,6,12478,32.44872303
E02000280,5,8611,21.46844838
E02000281,5,8978,27.97208744
E02000282,5,9562,40.06445953
E02000283,5,8603,31.00121353
E02000284,5,8507,17.07098378
E02000285,4,6559,11.39191203
E02000286,5,8529,16.91281827
E02000287,4,6860,13.16040437
E02000288,6,10771,33.57948538
E02000289,4,6597,10.25233727
E02000290,4,7103,38.83932071
E02000291,5,9784,22.76904303
E02000292,6,9852,21.6303512
E02000293,4,6542,10.69965041
E02000294,5,9342,29.83809002
E02000295,5,8948,14.26416227
E02000296,5,10037,18.73659699
E02000297,6,9682,11.15384797
E02000298,5,8190,8.6342442
E02000299,5,9787,34.10902892
E02000300,5,8833,31.69063489
E02000301,6,10923,39.40452037
E02000302,5,8747,19.46155733
E02000303,5,9113,39.4957091
E02000304,5,8058,9.395457434
E02000305,5,9166,15.37260484
E02000306,5,9674,43.56118441
E02000307,6,10056,25.02769212
E02000308,5,8201,21.17568638
E02000309,6,11664,38.22551166
E02000311,6,10667,26.65358461
E02000312,6,11432,19.41314521
E02000313,4,7342,29.03408485
E02000314,7,15395,23.20132939
E02000315,5,9607,36.29012033
E02000316,8,12869,23.83605983
E02000317,5,8685,32.47226068
E02000318,5,10662,26.53644485
E02000319,6,12100,24.1716814
E02000320,4,7328,22.93000341
E02000321,4,7742,32.89893154
E02000323,6,11026,32.19790005
E02000324,4,7864,29.34032248
E02000326,4,7327,20.64877153
E02000327,4,6945,30.4102766
E02000328,4,6756,16.88360272
E02000329,4,6351,19.49079704
E02000331,4,7823,29.18395079
E02000332,5,7655,15.90175885
E02000333,4,6404,13.90021315
E02000334,4,6451,25.99331111
E02000335,4,6768,11.43167036
E02000337,5,8207,30.83114061
E02000339,4,6281,17.05462331
E02000340,4,6304,14.54222192
E02000341,5,8164,38.41635975
E02000342,3,6542,21.59682054
E02000343,4,6910,25.21947873
E02000344,4,6614,12.95285546
E02000345,5,9579,28.99561343
E02000346,4,6708,47.16933468
E02000347,5,8654,28.99922128
E02000348,5,8705,33.21411143
E02000350,5,10092,24.30656054
E02000351,6,9225,27.08776195
E02000352,4,7336,26.09956461
E02000353,5,8232,23.55505114
E02000354,6,10503,34.86709131
E02000355,5,9160,28.73551386
E02000356,4,7382,23.85055364
E02000357,4,6739,43.06423223
E02000358,6,11698,32.00512558
E02000359,4,6758,30.71862104
E02000360,6,11694,36.47772832
E02000361,4,8470,33.01989433
E02000362,4,7115,42.29267224
E02000363,6,11650,42.04983382
E02000364,5,9924,27.9722636
E02000365,8,14695,29.74856652
E02000366,5,9175,34.18647837
E02000367,6,10970,31.86222479
E02000368,6,10206,37.53115089
E02000369,6,13345,34.9383378
E02000370,4,8888,32.31958978
E02000371,7,14198,29.41761959
E02000372,5,9566,32.10404746
E02000373,4,6639,39.21332851
E02000374,4,6672,27.84842761
E02000375,4,6909,31.14866001
E02000376,4,6874,30.26116424
E02000377,5,8067,28.28695612
E02000378,4,6472,23.67004651
E02000379,4,7673,19.27169334
E02000380,4,5814,17.50136722
E02000381,5,7735,20.11097789
E02000382,4,5783,21.62350389
E02000383,6,9211,17.56270872
E02000384,5,7081,32.95610309
E02000385,4,6010,17.25084343
E02000386,5,8087,30.90468431
E02000387,4,6088,22.14087993
E02000388,5,8258,19.70441608
E02000389,5,8233,11.32799016
E02000390,4,6355,18.4755166
E02000391,5,7934,17.44029519
E02000392,6,9327,17.88842457
E02000393,4,5916,9.297754902
E02000394,5,8629,19.70461154
E02000395,4,6024,10.78886753
E02000396,4,6826,18.11127879
E02000397,4,8305,26.15482083
E02000398,4,7629,49.73926439
E02000400,4,8236,21.73250911
E02000401,4,6978,43.11291889
E02000402,4,6716,41.39051429
E02000403,4,7796,25.14677258
E02000404,4,7970,31.82471405
E02000405,4,6648,11.86962545
E02000406,4,7410,33.5264641
E02000407,4,7768,40.34503502
E02000408,4,8443,37.74927443
E02000409,4,6360,39.80983962
E02000410,4,6572,11.07204717
E02000411,4,9714,32.82515802
E02000412,4,7619,34.36582609
E02000413,4,7544,15.14302187
E02000414,4,7416,29.47818581
E02000415,4,7170,27.36343738
E02000416,5,7786,28.274187
E02000417,4,6473,13.70292198
E02000418,4,5771,11.93660821
E02000419,4,8876,25.24468995
E02000420,4,7967,36.06057901
E02000421,4,7557,41.38769234
E02000422,4,8461,29.5572872
E02000423,4,7336,23.01422983
E02000424,4,7377,19.60835285
E02000425,4,7775,27.75180733
E02000426,4,6329,15.29275209
E02000427,4,7047,25.72474003
E02000428,4,7904,31.03907578
E02000429,4,7061,13.4351885
E02000430,4,7515,15.08218204
E02000431,4,6224,13.94456138
E02000432,4,6473,23.3377159
E02000433,4,7983,12.48209295
E02000434,5,9243,14.77928508
E02000435,4,8002,20.20159535
E02000436,4,5724,7.798958945
E02000437,5,8760,16.72362466
E02000438,5,8052,17.7924728
E02000439,5,8678,18.49153883
E02000440,5,9617,10.34400541
E02000441,4,6962,16.71795203
E02000442,5,9181,14.42063599
E02000443,5,9624,22.04779187
E02000444,5,8802,11.77786923
E02000445,5,10900,21.70237862
E02000447,4,6947,12.47077544
E02000448,4,6942,6.75395376
E02000449,5,8368,18.32467674
E02000451,4,6742,7.442853753
E02000452,4,8474,17.7143932
E02000453,4,8109,12.56025108
E02000454,4,7037,5.780740514
E02000455,4,8605,17.89532377
E02000456,4,7257,14.76181632
E02000457,4,6457,11.88986449
E02000459,4,8768,20.52602133
E02000460,4,6685,22.8510537
E02000461,4,7261,9.606814902
E02000462,4,6829,16.83032523
E02000463,5,8361,19.37885875
E02000464,4,7113,28.93272726
E02000465,5,8635,28.40643023
E02000466,5,8568,23.8243401
E02000467,6,10433,39.5210024
E02000468,5,8105,19.32032091
E02000469,4,6973,27.90097605
E02000470,5,8519,12.54507888
E02000471,5,7517,9.877744047
E02000472,6,9146,12.86092904
